CountryEnglish,ISO3v10,ContinentName,Continent,CountryCode,CountryCodeLong,UNRegion,ISO2,UNSDCode,Resolution,PopulationPerUnit,Area,LevelUsed,Level1Type,Level2Type,Level3Type,Level4Type,Level5Type,NumUnits,RefYearFirst,RefYearLast,P90E ('000),P95E ('000),P00E  ('000),UN_P90 ('000),UN_P95 ('000),UN_P00 ('000),Diff90,Diff00,Source Data: Boundaries,Source Data: Population,Edits and Notes: Spatial,Edits and Notes: Population,Num Settlement Points,Largest Point (pop),Smallest Point (pop),Mean Point (pop),Urban Criteria (UN),Num Urban Extents,Largest Extent (sq.km),Smallest Extent (sq.km),Mean Extent (sq.km),Sum-All Urban Extents (sq.km),Largest Extent (pop),Smallest Extent (pop),Mean Extent (pop),Sum-All Urban Extents (pop),Pct Total Land Area in Urban Extents (sq.km),"Pct Total Population in Urban Extents (2000,NSO est.)","Pct Total Population that is urban (2000,UN)",Num UE's from Nighttime Lights ,Num UE's from Regressions,Num UE's from DCW ,Num UE's from other sources,Settlement Point Population Source,Settlement Point Coordinate Source
Palau,PLW,Oceania,6,591,59105,Micronesia,PW,585,8,3,463,1,State,,,,,7,1990,2000,15,17,19,15,17,19,-0.81,-0.68,"Digital Chart of the World (DCW) and World Vector Shoreline, http://www.ngdc.noaa.gov/mgg/shorelines/shorelines.html .","Various Census Reports, 2000 Census of Population and Housing, and Office of Planning & Programming/UNDP-PSD Project Office computation, Ministry of Finance, Republic of Palau, http://www.palaugov.net/stats/ .","Via the World Vector Shorelines, http://www.ngdc.noaa.gov/mgg/shorelines/shorelines.html, the following Islands were added: Kayangel, Sonsorol, Peleliu, Angaur, and Merir.",The population growth rate between 1990–2000 was used for extrapolating to target years.,2,"12,318","1,193","6,755.50",Koror (capital city).,1,12,12,12.17,12,"11,111","11,111","11,111.00","11,111",2.63,58.08,69.30,1,0,0,0,"1990 US Census, http://www.census.gov/geo/www/gazetteer/gazette.ht",1990 US Census
Papua New Guinea,PNG,Oceania,6,602,60205,Melanesia,PG,598,152,241,"464,043",1,Province,,,,,20,1980,1990,"3,775","4,304","4,826","3,762","4,279","4,809",-0.35,-0.35,"UN Statistics Division's Software Development Project, http://www.un.org/Depts/unsd/softproj/index.htm .","The PopMap map database included population figures for 1990. 
1980 pop figures were available from official census publications 1980 National Population Census. 
Final Figures:
    Provincial Summary
    National Statistical Office
    P.O. Wards Strip
    Port Moresby, Papua New Guinea
    December 1985 ",,1995 calculated using average annual population growth rates between 1980–1990. The United Nations 1990–2000 population growth rate was used for extrapolating to other target years.,35,"254,158","1,037","19,097.17","Centres with 500 inhabitants or more, excluding separately located schools, hospi_tals, missions, plantations, rural settlements and rural villages regardless of population size.",20,397,8,59.71,"1,194","290,743","5,014","36,687.70","733,754",0.26,15.20,17.60,17,3,0,0,"City Population, www.citypopulation.de; World Gazetteer, www.gazetteer.de",Map; NIMA; World Gazetteer
French Polynesia,PYF,Oceania,6,244,24405,Polynesia,PF,258,10,6,"3,745",2,Island Group,Commune,,,,39,1988,2002,196,215,236,195,215,233,-0.43,-1.39,Digital Chart of the World (DCW).,"Institut de la Statistique de la Polynesie Francaise, http://www.ispf.pf/(xhaijxjsbngr2b553j3shc45)/index.aspx?choix=stat .",,The population growth rates between 1988–1996 was used to estimate the 1990 and 1995 populations.  The 1996–2002 rate was used to estimate the 2000–2020 (quinquennialy) populations.,35,"25,936","1,085","4,854.69","Places with 1,000 inhabitants or, more.",2,211,23,116.87,234,"64,044","6,899","35,471.50","70,943",6.24,30.03,52.60,2,0,0,0,"Recensement General de la Population de la Polynesie Francaise 2002, www.ispf.pf",Getty; Map; World Gazetteer
Solomon Islands,SLB,Oceania,6,702,70205,Melanesia,SB,90,54,42,"28,707",1,Province,,,,,10,1986,1999,318,366,421,319,377,447,0.21,5.88,Digital Chart of the World (DCW).,"Solomon Islands 1999 Population and Housing Census, Main Results. Report to the Government of the Solomon Islands. Solomon Islands Census Office. ",,,4,"50,950","1,313","14,234.25","Places with 1,000 inhabitants or more.",1,74,74,74.47,74,"74,954","74,954","74,954.00","74,954",0.26,17.82,20.20,1,0,0,0,Solomon Islands 1999 Population and Housing Census,World Gazetteer
Tonga,TON,Oceania,6,770,77005,Polynesia,TO,776,13,25,664,1,Island Group,,,,,4,1986,1996,96,97,99,96,97,99,0.28,0.35,"The Digital Chart of the World (DCW), except for the Vava'u and Niuas Island Groups which were taken from the World Vector Shorelines http://www.ngdc.noaa.gov/mgg/shorelines/shorelines.html .","1996 Census results from Tonga, http://www.tongatapu.net.to/tonga/news/facts.htm .
1986 Census from City Population,  http://www.citypopulation.de/Tonga.html .",,,8,"23,921","1,161","5,409.38",Greater Nuku'alofa (including Ko_lomotu'a and Kolof'ou districts).,1,183,183,182.92,183,"52,269","52,269","52,269.00","52,269",27.53,52.98,33.00,1,0,0,0,"World Gazetteer, www.gazetteer.de",World Gazetteer
Tuvalu,TUV,Oceania,6,790,79005,Polynesia,TV,798,2,1,32,1,Island,,,,,9,1979,1991,9,10,11,9,9,10,1.71,-13.96,Niulakita located from World Vector Shoreline and merged with Digital Chart of the World (DCW) boundaries.,"Government of Tuvalu, 1991 Census, downloaded from http://www.ffa.int/tuvalu.html .",,GPW2 for all islands other than Niulakita. Niulakita located from World Vector Shoreline; island names were identified from http://www.janeresture.com/tuvislands/index.htm,,,,,Funafuti (capital city).,,,,,,,,,,,,53.20,,,,,"1991 Tuvalu Population and Housing Census, UN Statistical Library, hard copy","Map, NIMA"
Vanuatu,VUT,Oceania,6,875,87505,Melanesia,VU,548,45,27,"12,274",1,Province,,,,,6,1989,1999,124,143,165,149,172,197,17.05,16.37,Digital Chart of the World (DCW).,"Vanuatu Statistics Office, Facts on Population of Vanuatu, downloaded from http://www.spc.int/stats/vanuatu/About%20VNSO/Data/Social/Population.htm .",,,2,"30,611","11,210","20,910.50",Luganville centre and Vila urban.,2,61,21,41.33,83,"30,011","10,472","20,241.50","40,483",0.67,24.57,22.10,2,0,0,0,"City Population, www.citypopulation.de",World Gazetteer
Wallis and Futuna,WLF,Oceania,6,900,90005,Polynesia,WF,876,9,7,176,1,Island Group,,,,,2,,1996,14,14,14,14,14,14,2.11,-3.45,Digital Chart of the World (DCW).,"Principle results of census 1996. Statistques de Wallis et Futuna, http://www.wallis.co.nc/stats/Recensements/Recensement%201996.htm",,"1996 Island group population data were extrapolated to target years of 1990, 1995 and 2000 using growth rates derived from United Nations national level estimates and projections.",2,"1,102","1,083","1,092.50", No urban population. Mata-Utu (capital) defined according to administrative boundaries.,,,,,,,,,,,,—,,,,,"1996 Wallis and Futuna Islands Census, www.wallis.co.nc/stats/","Map, NIMA"
Western Samoa,WSM,Oceania,6,670,67005,Polynesia,WS,882,31,58,"2,888",2,Region,District,,,,3,1991,2001,160,167,175,160,158,159,0.10,-10.22,Digital Chart of the World (DCW).,The 2001 Population and Housing Census . Government of Samoa website at http://www.govt.ws/gi_listing.cfm,,"National growth rate from 1991 to 2001 applied to 2001 population to project to target years of 1990, 1995 and 2000.",20,"38,337","1,104","3,649.65","Urban area of Apia, comprising the Faipule districts of Vaimuga West and Foleata East, and other urban areas.",1,82,82,82.42,82,"33,144","33,144","33,144.00","33,144",2.85,18.91,22.30,1,0,0,0,"2001 Western Samoa Census, http://www.spc.int/prism/Country/WS/stats/; City Population, www.citypopulation.de",Map; NIMA; Samoa Maps; World Gazetteer
Argentina,ARG,South America,3,34,3405,South America,AR,32,74,72,"2,736,391",2,Provincia,Departamento,,,,499,1991,2001,"32,509","34,153","35,993","32,527","34,768","37,032",0.06,2.81,Atlas de Suelos de la República Argentina. Inta y la Fundación Argentina. Prepared by the Centro Internacional de Agricultural Tropical (CIAT). ,"Provincia segun departamento. Poblacion censada en 1991 y 2001 y variacion intercensal aboluta y ralativa 1991-2001.  Censo Nacional de Poblacion, Hogares y Viviendas del ano 2001. Instituto Nacional de Estadistica Y Censos Argentina.  http://www.indec.mecon.ar/webcenso/index.asp ",,"Based on the jpg Provincial boundary maps downloaded from Resultados Provinciales del Censo 2001 - Información seleccionada (http://www.indec.mecon.ar/webcenso/provincias_2/provincias.asp), the following edits are made:
(1) in Buenos Aires, the populations of Hurlingham,  Ituzaingó are added to  Morón; Ezeiza added to  Esteban Echeverría; population of Presidente Perón added to San Vicente; population of Punta Indio added to Magdalena.  
(2) In Provincia del Chaco, the polygons for 12 de Octubre and Fray Justo Santa María de Oro are merged and their populations and the populations of 2 de Abril added together.  
(3) In Provincia de Entre Ríos, the polygons for Colón, Concordia and Villaguay are merged and their populations and San Salvador are added together.  
(4) In Provincia de Misiones, the population of Capital are added to Apóstoles.
","1,091","2,724,824","1,006","28,457.64","Population centres with 2,000 inhabitants or more.",465,"5,235",9,123.97,"57,648","13,059,690","5,008","65,965.33","30,673,878",2.11,85.22,88.30,443,22,0,0,"CELADE, Latin American and Caribbean Demographic Centre (CELADE) - Population Division of Economic Commission for Latin America and the Caribbean; Censo Nacional de Poblaci≤n, Hogares y Viviendas 2001, http://www.indec.mecon.ar/;City Population, www.citypopulation.de",Celade; Map; NIMA
Bolivia,BOL,South America,3,68,6805,South America,BO,68,103,78,"1,069,350",2,Departamento,Provincia,,,,100,1992,2001,"5,993","6,837","7,845","6,573","7,414","8,329",8.82,5.82,Instituto Geográfico Militar. Mapa de la República de Bolivia. Escala 1:1500000. Proyección Cónica Comforme de Lambert. Prepared by the Centro Internacional de Agricultural Tropical (CIAT).,"Instituto Nacional de estadística, INE. Indicadores Socio-demográficospor Provincias. Censo de 1992. La Paz, Bolivia.  2001 population from Censo de Poblacion y Vivienda, Instituto Nacional de estadística, INE.",,,95,"1,077,218","1,277","53,239.57"," Localities with 2,000 inhabitants or more.",67,783,3,92.16,"6,175","1,263,761","5,101","74,985.49","5,024,028",0.58,64.05,62.90,36,30,1,0,"CELADE, Latin American and Caribbean Demographic Centre (CELADE) - Population Division of Economic Commission for Latin America and the Caribbean",Celade; NIMA; World Gazetteer
Brazil,BRA,South America,3,78,7805,South America,BR,76,39,31,"8,480,395",2,Estado,Municipio,,,,5508,1991,2000,"144,673","156,165","169,797","147,957","159,481","170,406",2.22,0.36,International Geosphere-Biosphere Programme (IGBP)  CD,"Instituto Brasileiro de Geografia y Estatística, IBGE.Censo Demográfico 2000: http://www2.ibge.gov.br/pub/Censos/Censo_Demografico_2000/Dados_do_Universo/Taxa_crescimento_anual_1991_2000/",,,"4,243","17,075,936","1,001","36,840.29", Urban and suburban zones of admin_istrative centres of municipios and districts.,"2,133","6,459",1,88.36,"188,477","20,405,800","5,009","58,056.22","123,833,915",2.22,72.93,81.70,"1,682",449,2,0,"CELADE, Latin American and Caribbean Demographic Centre (CELADE) - Population Division of Economic Commission for Latin America and the Caribbean; City Population, www.citypopulation.de;Demographic Census 2000, Brazil; World Gazetteer, www.gazetteer.de",Celade; Getty; Map; NIMA; UNSD; World Gazetteer
Chile,CHL,South America,3,134,13405,South America,CL,152,50,50,"721,229",3,Region,Provincias,Municipios,,,292,1992,2002,"13,045","13,831","14,724","13,100","14,210","15,211",0.42,3.20,Instituto Nacional de Estadísticas de Chile. Sub. Depto. Cartografía. Dpto. Geografía y Censos. 1981. Con la Nueva Diivisón Política. Escala 1:3000000 and Mapa Caminero Geografico y Turistico de Chile Inupal. 1987. Escala 1: 1.400.000 Codigo Ciat 782 gbbg 1989 -  782 fb 198; Prepared by the Centro Internacional de Agricultural Tropical (CIAT). ,"Instituto Nacional de Estadisctica, INE. 1992 and 2002; www.ine.cl; refinements made at CIESIN using http://www.ine.cl/cd2002/index.php, an intercative map showing 1992 and 2002 population by municipio.","Polygons for the small island municipios of Isla de Pascua and Juan Fernandez located in the Valparaiso region, were added to the original shapefile from Instituto Nacional de Estadísticas based on the interactive map available from the Chile census office, at http://www.ine.cl/cd2002/index.php . Because these islands were rendered in a generalized way, they are not considered to be acurately georeferenced.","Recent boundary divisions were accomodated in the following attribution of population: 
- We assign the populations of Aisen and Cisnes municipios to Cisnes, although rendered as two separate polygons in the interactive map, our shapefile indicated only one polygon, Cisnes, which visual approximates the size and shape of these two municipalities combined. 
- The following muncipios were merged into Chilena Punta Rio Natales: Antartic Chilena, Punta Arenas, Rio Verde (Is), and Natalie (Is) (also called Puerto Natales). They were assigned a single, total population value.
- Cabo de Hornos merges the municipalities of Timaukel and Cabo de Hornes. 
- In Atacama region, the muncipios of Copiapo and Cladera are merged. 
- In Metropolitana region, in the province of Talagante, the municipio Penaflor and Padre Hurtado are merged. 
- The following muncipios within Region Metropolitana, Provincia Santiago are treated as Provincia Santiago (I.e., we did not have the boundaries at the municipio-level for this province): Lo Barnechea,  Vitacura,  Las Condes,  La reina,  Penalolen, La Florida,  Huechuraba,  Recoleta,  Providencia,  Nunoa,  Macul, Quilicura, Conchali, Independicia, Renca, Cerro Navia, Quinta Normal, Lo Prado,  Estacion central,  Santiago,  San Joaquin,  La Granja,  La Pintana,  San Miguel,  San Ramon,  La Cisterna,  El Bosque,  Pedro Aguirre Cerda,  Lo Espejo,  Cerrillos,  Maipu,  Pudahuel
- In the province of Cacahapoal, the municipios  Malloa and Rengo are merged.",62,"4,502,864","19,343","169,906.95","Populated centres with definite ur_ban characteristics, such as certain public and mu_nicipal services.",40,"2,205",32,277.36,"11,094","5,819,119","19,470","289,130.75","11,565,230",1.54,78.55,86.10,40,0,0,0,"City Population, www.citypopulation.de",Map; NIMA
Colombia,COL,South America,3,150,15005,South America,CO,170,33,34,"1,141,569",2,Departamento,Municipio,,,,1069,1985,1993,"31,788","34,060","36,533","34,970","38,542","42,105",9.10,13.23,"Instituto Geográfico ""Agustín Codazzi"". 1995. Mapa digitalizado por el DANE. Plancha 1:500000 Prepared by the Centro Internacional de Agricultural Tropical (CIAT).","Departamento Administrativo Nacional de Estadística, DANE. ""República de Colombia: Panorama Colombiano,"" http://www.sin.com.co/clientes/DANE/censo93.html .",Municipio names should be treated with caution for specific applications. These lack further confirmation. ,CEPAL department level growth rate from 1985 to 1993 applied to 1993 muncipio population data.,783,"6,230,938","1,010","38,178.56","Population living in a nucleus of 1,500 inhabitants or more.",353,"2,865",3,102.06,"36,028","7,338,309","5,001","85,488.72","30,177,517",3.16,82.60,75.50,299,54,0,0,"CELADE, Latin American and Caribbean Demographic Centre (CELADE) - Population Division of Economic Commission for Latin America and the Caribbean; City Population, www.citypopulation.de; World Gazetteer, www.gazetteer.de",Celade; Columbia Gazetteer; Getty; Map; NIMA; World Gazetteer
Ecuador,ECU,South America,3,194,19405,South America,EC,218,16,12,"246,700",3,Provincias,Canton,Parroquia,,,956,,,"9,409","10,472","11,680","10,264","11,460","12,646",8.33,7.64,"Instituto Nacional de Estadística y Censos. Divisón Político Administrativa de la República del Ecuador. 1993. Planchas y escalas, Provincia de: 
Sucumbios 1:250000, Napo 1:250000, Pastaza 1:250000, Morona Santiago 1:250000, Zamora Chinchipe 1:250000, Esmeraldas 1:250000,  Manabi 1:250000, Los Ríos 1:250000, Guayas 1:250000, Prov. El Oro 1:250000, Galápagos  1:500000, Carchi 1:250000, Imbabura 1:250000, Pichincha 1:250000, Cotopaxi  1:250000, Tungurahua 1:250000,  Bolívar 1:250000, Chimborazo 1:250000, Canar 1:250000, Azuay 1:250000, Loja 1:250000.  Prepared by the Centro Internacional de Agricultural Tropical (CIAT).","Instituto Nacional de Estadística y Censos (INEC), 1990.",,Department level growth rate between years ,55,"1,915,560","9,991","118,623.75",Capitals of provinces and cantons.,40,"1,692",15,249.96,"9,998","2,082,085","8,037","191,094.95","7,643,798",4.05,65.44,63.40,40,0,0,0,"CELADE, Latin American and Caribbean Demographic Centre (CELADE) - Population Division of Economic Commission for Latin America and the Caribbean; Censo de Poblacion y de Vivienda 1990 de Ecuador, www.citypopulation.de;City Population, www.citypopulation.de",NIMA
Falkland Islands,FLK,South America,3,224,22405,South America,FK,238,77,1,"11,988",1,Islands,,,,,2,1990,2001,2,2,2,2,2,2,-6.55,-21.55,Digital Chart of the World (DCW),Falkland Islands Government: http://www.falklands.gov.fk/9ca.htm,,,1,"1,953","1,953","1,953.00",Stanley (capital city).,,,,,,,,,,,,81.30,,,,,"City Population, www.citypopulation.de; World Gazetteer, www.gazetteer.de",World Gazetteer
